"","grupo","perc_agua"
"1","natura",69.7980898509708
"2","natura",69.8673351997605
"3","natura",69.7111693852005
"4","natura",70.0719913748166
"5","natura",70.0404843397249
"6","natura",69.9272772166004
"7","natura",69.9204395685939
"8","natura",70.1189392316873
"9","natura",69.9493354012644
"10","natura",70.0473814841684
"11","tumbler",72.1596380808436
"12","tumbler",71.7170949888524
"13","tumbler",71.9075808612918
"14","tumbler",71.8828066265519
"15","tumbler",72.1863979740087
"16","tumbler",72.0010035513083
"17","tumbler",72.0941243761149
"18","tumbler",72.0174489779661
"19","tumbler",71.952202162716
"20","tumbler",71.8531664024295
"21","injetcion",73.5855600860594
"22","injetcion",73.8676945688002
"23","injetcion",74.0819214495639
"24","injetcion",74.0830742372241
"25","injetcion",74.0560140785933
"26","injetcion",74.0264874703587
"27","injetcion",74.1534434004452
"28","injetcion",73.679350264583
"29","injetcion",73.7822672017591
"30","injetcion",73.84430933261
